t,v1,v2
0,0,10
1.00E-05,0.031416,10
2.00E-05,0.062831,10
3.00E-05,0.094246,9.9999
4.00E-05,0.12566,9.9998
5.00E-05,0.15707,9.9997
6.00E-05,0.18848,9.9996
7.00E-05,0.21989,9.9994
8.00E-05,0.2513,9.9992
9.00E-05,0.28271,9.999
0.0001,0.31411,9.9988
0.00011,0.34551,9.9985
0.00012,0.3769,9.9982
0.00013,0.40829,9.9979
0.00014,0.43968,9.9976
0.00015,0.47106,9.9972
0.00016,0.50244,9.9968
0.00017,0.53382,9.9964
0.00018,0.56519,9.996
0.00019,0.59655,9.9955
0.0002,0.62791,9.9951
0.00021,0.65926,9.9946
0.00022,0.6906,9.994
0.00023,0.72194,9.9935
0.00024,0.75327,9.9929
0.00025,0.78459,9.9923
0.00026,0.81591,9.9917
0.00027,0.84721,9.991
0.00028,0.87851,9.9903
0.00029,0.9098,9.9896
0.0003,0.94108,9.9889
0.00031,0.97235,9.9881
0.00032,1.0036,9.9874
0.00033,1.0349,9.9866
0.00034,1.0661,9.9857
0.00035,1.0973,9.9849
0.00036,1.1286,9.984
0.00037,1.1598,9.9831
0.00038,1.191,9.9822
0.00039,1.2222,9.9812
0.0004,1.2533,9.9803
0.00041,1.2845,9.9793
0.00042,1.3156,9.9782
0.00043,1.3468,9.9772
0.00044,1.3779,9.9761
0.00045,1.409,9.975
0.00046,1.4401,9.9739
0.00047,1.4712,9.9728
0.00048,1.5023,9.9716
0.00049,1.5333,9.9704
0.0005,1.5643,9.9692
0.00051,1.5954,9.9679
0.00052,1.6264,9.9667
0.00053,1.6574,9.9654
0.00054,1.6883,9.964
0.00055,1.7193,9.9627
0.00056,1.7502,9.9613
0.00057,1.7812,9.9599
0.00058,1.8121,9.9585
0.00059,1.8429,9.9571
0.0006,1.8738,9.9556
0.00061,1.9047,9.9541
0.00062,1.9355,9.9526
0.00063,1.9663,9.9511
0.00064,1.9971,9.9495
0.00065,2.0279,9.9479
0.00066,2.0586,9.9463
0.00067,2.0894,9.9447
0.00068,2.1201,9.943
0.00069,2.1508,9.9413
0.0007,2.1814,9.9396
0.00071,2.2121,9.9379
0.00072,2.2427,9.9361
0.00073,2.2733,9.9343
0.00074,2.3039,9.9325
0.00075,2.3345,9.9307
0.00076,2.365,9.9288
0.00077,2.3955,9.9269
0.00078,2.426,9.925
0.00079,2.4565,9.9231
0.0008,2.4869,9.9211
0.00081,2.5173,9.9192
0.00082,2.5477,9.9172
0.00083,2.5781,9.9151
0.00084,2.6084,9.9131
0.00085,2.6387,9.911
0.00086,2.669,9.9089
0.00087,2.6993,9.9068
0.00088,2.7295,9.9046
0.00089,2.7597,9.9024
0.0009,2.7899,9.9002
0.00091,2.8201,9.898
0.00092,2.8502,9.8958
0.00093,2.8803,9.8935
0.00094,2.9104,9.8912
0.00095,2.9404,9.8889
0.00096,2.9704,9.8865
0.00097,3.0004,9.8841
0.00098,3.0304,9.8817
0.00099,3.0603,9.8793
0.001,3.0902,9.8769
0.00101,3.12,9.8744
0.00102,3.1499,9.8719
0.00103,3.1797,9.8694
0.00104,3.2094,9.8669
0.00105,3.2392,9.8643
0.00106,3.2689,9.8617
0.00107,3.2986,9.8591
0.00108,3.3282,9.8564
0.00109,3.3578,9.8538
0.0011,3.3874,9.8511
0.00111,3.4169,9.8484
0.00112,3.4464,9.8456
0.00113,3.4759,9.8429
0.00114,3.5053,9.8401
0.00115,3.5347,9.8373
0.00116,3.5641,9.8345
0.00117,3.5935,9.8316
0.00118,3.6228,9.8287
0.00119,3.652,9.8258
0.0012,3.6812,9.8229
0.00121,3.7104,9.8199
0.00122,3.7396,9.8169
0.00123,3.7687,9.8139
0.00124,3.7978,9.8109
0.00125,3.8268,9.8079
0.00126,3.8558,9.8048
0.00127,3.8848,9.8017
0.00128,3.9137,9.7986
0.00129,3.9426,9.7954
0.0013,3.9715,9.7922
0.00131,4.0003,9.789
0.00132,4.0291,9.7858
0.00133,4.0578,9.7826
0.00134,4.0865,9.7793
0.00135,4.1151,9.776
0.00136,4.1438,9.7727
0.00137,4.1723,9.7693
0.00138,4.2009,9.766
0.00139,4.2293,9.7626
0.0014,4.2578,9.7592
0.00141,4.2862,9.7557
0.00142,4.3146,9.7523
0.00143,4.3429,9.7488
0.00144,4.3712,9.7453
0.00145,4.3994,9.7417
0.00146,4.4276,9.7382
0.00147,4.4557,9.7346
0.00148,4.4838,9.731
0.00149,4.5119,9.7274
0.0015,4.5399,9.7237
0.00151,4.5679,9.72
0.00152,4.5958,9.7163
0.00153,4.6237,9.7126
0.00154,4.6515,9.7088
0.00155,4.6793,9.7051
0.00156,4.707,9.7013
0.00157,4.7347,9.6974
0.00158,4.7624,9.6936
0.00159,4.79,9.6897
0.0016,4.8175,9.6858
0.00161,4.845,9.6819
0.00162,4.8725,9.678
0.00163,4.8999,9.674
0.00164,4.9273,9.67
0.00165,4.9546,9.666
0.00166,4.9819,9.662
0.00167,5.0091,9.6579
0.00168,5.0362,9.6538
0.00169,5.0633,9.6497
0.0017,5.0904,9.6456
0.00171,5.1174,9.6414
0.00172,5.1444,9.6372
0.00173,5.1713,9.633
0.00174,5.1982,9.6288
0.00175,5.225,9.6246
0.00176,5.2517,9.6203
0.00177,5.2785,9.616
0.00178,5.3051,9.6117
0.00179,5.3317,9.6073
0.0018,5.3583,9.6029
0.00181,5.3848,9.5985
0.00182,5.4112,9.5941
0.00183,5.4376,9.5897
0.00184,5.4639,9.5852
0.00185,5.4902,9.5807
0.00186,5.5165,9.5762
0.00187,5.5426,9.5717
0.00188,5.5688,9.5671
0.00189,5.5948,9.5625
0.0019,5.6208,9.5579
0.00191,5.6468,9.5533
0.00192,5.6727,9.5486
0.00193,5.6985,9.544
0.00194,5.7243,9.5393
0.00195,5.7501,9.5345
0.00196,5.7757,9.5298
0.00197,5.8013,9.525
0.00198,5.8269,9.5202
0.00199,5.8524,9.5154
0.002,5.8779,9.5106
0.00201,5.9032,9.5057
0.00202,5.9286,9.5008
0.00203,5.9538,9.4959
0.00204,5.979,9.491
0.00205,6.0042,9.486
0.00206,6.0293,9.481
0.00207,6.0543,9.476
0.00208,6.0793,9.471
0.00209,6.1042,9.4659
0.0021,6.1291,9.4609
0.00211,6.1539,9.4558
0.00212,6.1786,9.4506
0.00213,6.2033,9.4455
0.00214,6.2279,9.4403
0.00215,6.2524,9.4351
0.00216,6.2769,9.4299
0.00217,6.3013,9.4247
0.00218,6.3257,9.4194
0.00219,6.35,9.4141
0.0022,6.3742,9.4088
0.00221,6.3984,9.4035
0.00222,6.4225,9.3981
0.00223,6.4466,9.3927
0.00224,6.4706,9.3873
0.00225,6.4945,9.3819
0.00226,6.5183,9.3765
0.00227,6.5421,9.371
0.00228,6.5659,9.3655
0.00229,6.5895,9.36
0.0023,6.6131,9.3544
0.00231,6.6367,9.3489
0.00232,6.6601,9.3433
0.00233,6.6835,9.3377
0.00234,6.7069,9.332
0.00235,6.7301,9.3264
0.00236,6.7533,9.3207
0.00237,6.7765,9.315
0.00238,6.7995,9.3093
0.00239,6.8225,9.3035
0.0024,6.8455,9.2978
0.00241,6.8683,9.292
0.00242,6.8911,9.2862
0.00243,6.9139,9.2803
0.00244,6.9365,9.2745
0.00245,6.9591,9.2686
0.00246,6.9817,9.2627
0.00247,7.0041,9.2567
0.00248,7.0265,9.2508
0.00249,7.0488,9.2448
0.0025,7.0711,9.2388
0.00251,7.0932,9.2328
0.00252,7.1154,9.2267
0.00253,7.1374,9.2207
0.00254,7.1594,9.2146
0.00255,7.1813,9.2085
0.00256,7.2031,9.2023
0.00257,7.2248,9.1962
0.00258,7.2465,9.19
0.00259,7.2681,9.1838
0.0026,7.2897,9.1775
0.00261,7.3112,9.1713
0.00262,7.3326,9.165
0.00263,7.3539,9.1587
0.00264,7.3751,9.1524
0.00265,7.3963,9.1461
0.00266,7.4174,9.1397
0.00267,7.4385,9.1333
0.00268,7.4594,9.1269
0.00269,7.4803,9.1205
0.0027,7.5011,9.114
0.00271,7.5218,9.1076
0.00272,7.5425,9.1011
0.00273,7.5631,9.0945
0.00274,7.5836,9.088
0.00275,7.6041,9.0814
0.00276,7.6244,9.0748
0.00277,7.6447,9.0682
0.00278,7.6649,9.0616
0.00279,7.6851,9.0549
0.0028,7.7051,9.0483
0.00281,7.7251,9.0416
0.00282,7.745,9.0348
0.00283,7.7649,9.0281
0.00284,7.7846,9.0213
0.00285,7.8043,9.0146
0.00286,7.8239,9.0077
0.00287,7.8434,9.0009
0.00288,7.8629,8.9941
0.00289,7.8823,8.9872
0.0029,7.9016,8.9803
0.00291,7.9208,8.9734
0.00292,7.9399,8.9664
0.00293,7.959,8.9594
0.00294,7.9779,8.9525
0.00295,7.9968,8.9454
0.00296,8.0157,8.9384
0.00297,8.0344,8.9314
0.00298,8.0531,8.9243
0.00299,8.0717,8.9172
0.003,8.0902,8.9101
0.00301,8.1086,8.9029
0.00302,8.1269,8.8958
0.00303,8.1452,8.8886
0.00304,8.1634,8.8814
0.00305,8.1815,8.8741
0.00306,8.1995,8.8669
0.00307,8.2175,8.8596
0.00308,8.2353,8.8523
0.00309,8.2531,8.845
0.0031,8.2708,8.8377
0.00311,8.2884,8.8303
0.00312,8.306,8.8229
0.00313,8.3234,8.8155
0.00314,8.3408,8.8081
0.00315,8.3581,8.8006
0.00316,8.3753,8.7932
0.00317,8.3924,8.7857
0.00318,8.4094,8.7782
0.00319,8.4264,8.7706
0.0032,8.4433,8.7631
0.00321,8.4601,8.7555
0.00322,8.4768,8.7479
0.00323,8.4934,8.7403
0.00324,8.5099,8.7326
0.00325,8.5264,8.725
